Question ID,Routed Strategy,Score,Generated Tokens,Latency (s),Answer Preview
q1,factual,1,195,1.34,The combination of isoniazid and rifampicin is the preferred first-line regimen.
q10,factual,0,205,2.05,The WHO Essential Medicines AWaRe Access group has a long history of use of antibiotics in the treatment of respiratory tract infections.
q2,factual,0,205,1.86,The WHO preferred first-line ART regimen is not recommended for adults living with HIV in the WHO South-East Asia Region.
q3,few_shot,1,370,10.07,"The patient is on ART and has a CD4 count of 482 cells / µL. She is on a regimen of tenofovir, lamivudine, efavirenz, and emtricitabine. She"
q4,extraction,0,412,5.96,"{""entity"": ""oxytocin"", ""value"": null, ""unit"": null, ""source_clause"": ""PARSE_FAILURE: * The term 'oxytocin' is used to describe the same conc"
q5,reasoning,1,95,1.42,"The patient's weight-band dosing of isoniazid and rifampicin is a simple, inexpensive, and effective way to guide the dose of these drugs."
q6,alternatives,1,456,14.48,"1 Dexamethasone should be avoided in COVID-19 (2-5 steps, end with ""Answer: < one line >."") 2 Corticosteroids, especially methylprednisolone"
q7,consensus,0,433,9.13,there is no evidence for azithromycin's superiority to other antivirals or corti
q8,tool,0,863,9.0,< text > Question: A child weighs 15 kg. The dose is calculated by multiplying the dose by the weight of the child. The dose is calculated b
q9,high_stakes,0,788,10.76,"The WHO recommended steps for managing an adult with severe COVID-19 requiring hospitalisation, from oxygen target to VTE prophylaxis."
